index_name,price_index_2025,avg_inflation_1985_2025,inflation_2021,inflation_2022,cum_change_2019_2022,index_label
BasicReproductionCostIndex,362.0262800091417,3.216534068160245,6.48348652788362,10.342777943030024,18.208097186164117,Basic reproduction costs
CPIAllItems,309.90823038665167,2.807063134331951,4.697858863637383,8.002799820521167,14.471514451794064,CPI all items
CheapGoodsIndex,146.65083966734073,0.9699196620009888,10.069344615069877,9.622172089200395,21.024548553709387,Low-price tradable goods
LocalReproductionCostIndex,451.7104174667886,3.752540730677502,1.9254066102568412,5.137925619836414,10.761884737016336,Local institutional reproduction costs
