"local_reproduction_group","n_industries","mean_direct_tariff","mean_network_tariff","mean_upstream_tariff","mean_downstream_tariff","mean_tradable_input_exposure","mean_goods_supply_chain_exposure","mean_tradable_downstream_exposure","mean_tradable_input_inflation_shock","mean_goods_supply_chain_inflation_shock","mean_output_price_growth","mean_input_price_growth"
"Core local reproduction",7,0,0.0395706265484444,0.0395706265484444,0.000974014315518331,0.196121221521573,0.237552299904892,0.00492523635699836,0.688472591200121,0.83391407718251,0.0311242115606914,0.0327538704789535
"Extended local services",3,0,0.0693678368842024,0.0693678368842024,0.00245556140532021,0.245823504301899,0.301527330491497,0.0280417452916148,0.862949678120403,1.05849484788315,0.0283584164899965,0.0285213599537792
"Other industries",56,0.0821637910151666,0.0884155328726156,0.0884155328726156,0.0623446562840183,0.414039128009926,0.493893433169039,0.27521178222521,1.45346122723326,1.73378530417326,0.0319809234608919,0.0325987469158475
