"model_set","model","term","estimate","std_error","t_value","p_value","nobs"
"local_reproduction_network","Input: core local x network","network_tariff_shock_cum01",0.143893755841693,0.0699637441450843,2.05669032725434,0.0437341113888672,594
"local_reproduction_network","Input: core local x network","network_tariff_shock_cum01:local_reproduction_core",0.161940426116995,0.0611147296846498,2.64977734422787,0.0101025771101843,594
"local_reproduction_network","Input: core local x network","tariff_direct_cum01_alt",-0.0671884592503349,0.0535901945787467,-1.25374538716419,0.214425161488269,594
"local_reproduction_network","Input: extended local x network","network_tariff_shock_cum01",0.140301907111951,0.0709177423690283,1.97837526160765,0.0521273888763234,594
"local_reproduction_network","Input: extended local x network","network_tariff_shock_cum01:local_reproduction_extended",0.0621154634169971,0.0512161533869258,1.21281000835283,0.229591902695564,594
"local_reproduction_network","Input: extended local x network","tariff_direct_cum01_alt",-0.066626163597093,0.0549475870489365,-1.21254029840756,0.229694358087566,594
"local_reproduction_network","Output: core local x network","network_tariff_shock_cum01",0.13662108409254,0.0872977562523828,1.56500109461646,0.122438553175669,594
"local_reproduction_network","Output: core local x network","network_tariff_shock_cum01:local_reproduction_core",0.0249449395495395,0.0839536595768507,0.297127482890785,0.767316666535983,594
"local_reproduction_network","Output: core local x network","tariff_direct_cum01_alt",-0.0711085032815977,0.0678530974844238,-1.04797726143484,0.298530294469171,594
"local_reproduction_network","Output: extended local x network","network_tariff_shock_cum01",0.135549014345057,0.0878751577735654,1.5425180196471,0.127802568683779,594
"local_reproduction_network","Output: extended local x network","network_tariff_shock_cum01:local_reproduction_extended",0.029400251985586,0.0624828691130035,0.470533002132378,0.639549394103052,594
"local_reproduction_network","Output: extended local x network","tariff_direct_cum01_alt",-0.0702396026764755,0.0691857660088368,-1.01523198669946,0.313759432152526,594
"luo_upstream_downstream_local","Input: core up/down","downstream_tariff_shock_cum01",0.0162139500657605,0.0429179307580595,0.377789650604618,0.706817736414523,594
"luo_upstream_downstream_local","Input: core up/down","downstream_tariff_shock_cum01:local_reproduction_core",1.15562545328771,0.408426879717832,2.82945494205985,0.00619537299510104,594
"luo_upstream_downstream_local","Input: core up/down","upstream_tariff_shock_cum01",0.14486808030473,0.0664435557162091,2.1803179968797,0.0328603443651285,594
"luo_upstream_downstream_local","Input: core up/down","upstream_tariff_shock_cum01:local_reproduction_core",0.162900013923491,0.0652887159248507,2.49507149307385,0.0151424083276934,594
