industry_code,year,own_tariff_shock,upstream_tariff_shock,upstream_tariff_shock_5pct,downstream_tariff_shock,downstream_tariff_shock_5pct,lag1_own_tariff_shock,lag1_upstream_tariff_shock,lag1_upstream_tariff_shock_5pct,lag1_downstream_tariff_shock,lag1_downstream_tariff_shock_5pct,own_tariff_shock_cum01,upstream_tariff_shock_cum01,upstream_tariff_shock_5pct_cum01,downstream_tariff_shock_cum01,downstream_tariff_shock_5pct_cum01
111CA,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
111CA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111CA,2018,0.03333333333333333,0.027867611571872453,0.025575205431668777,0.04071821244692492,0.039333300194551286,0,0,0,0,0,0.03333333333333333,0.027867611571872453,0.025575205431668777,0.04071821244692492,0.039333300194551286
111CA,2019,0.2,0.12917566852825052,0.12265439482262284,0.15541045849943771,0.1514344278052654,0.03333333333333333,0.027867611571872453,0.025575205431668777,0.04071821244692492,0.039333300194551286,0.23333333333333334,0.15704328010012297,0.14822960025429163,0.19612867094636263,0.19076772799981667
111CA,2020,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.2,0.12917566852825052,0.12265439482262284,0.15541045849943771,0.1514344278052654,0.45,0.2888266732960149,0.2748290637289884,0.3516389327696723,0.34337013047941095
111CA,2021,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.5,0.3193020095355288,0.30434933781273116,0.3924569485404691,0.3838714053482911
111CA,2022,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.5,0.3193020095355288,0.30434933781273116,0.3924569485404691,0.3838714053482911
111CA,2023,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.5,0.3193020095355288,0.30434933781273116,0.3924569485404691,0.3838714053482911
111CA,2024,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.5,0.3193020095355288,0.30434933781273116,0.3924569485404691,0.3838714053482911
111CA,2025,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.25,0.1596510047677644,0.15217466890636558,0.19622847427023454,0.19193570267414556,0.5,0.3193020095355288,0.30434933781273116,0.3924569485404691,0.3838714053482911
113FF,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
113FF,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF,2018,0,0.007978780770161594,0.0032985576052502654,0.028466537098116633,0.027956356244624708,0,0,0,0,0,0,0.007978780770161594,0.0032985576052502654,0.028466537098116633,0.027956356244624708
113FF,2019,0,0.030250944943432664,0.009623675594124546,0.1358874932983228,0.13462723824612205,0,0.007978780770161594,0.0032985576052502654,0.028466537098116633,0.027956356244624708,0,0.03822972571359426,0.012922233199374812,0.16435403039643945,0.16258359449074675
113FF,2020,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.030250944943432664,0.009623675594124546,0.1358874932983228,0.13462723824612205,0,0.06593754230185667,0.019994030564629544,0.30669051144463944,0.3039460016544504
113FF,2021,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.071373194716848,0.020740709941009995,0.3416060362926332,0.33863752681665676
113FF,2022,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.071373194716848,0.020740709941009995,0.3416060362926332,0.33863752681665676
113FF,2023,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.071373194716848,0.020740709941009995,0.3416060362926332,0.33863752681665676
113FF,2024,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.071373194716848,0.020740709941009995,0.3416060362926332,0.33863752681665676
113FF,2025,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.035686597358424,0.010370354970504998,0.1708030181463166,0.16931876340832838,0,0.071373194716848,0.020740709941009995,0.3416060362926332,0.33863752681665676
211,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
211,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2018,0,0.015598772088157652,0.01019160450496999,0.03575336436841996,0.03538771135463832,0,0,0,0,0,0,0.015598772088157652,0.01019160450496999,0.03575336436841996,0.03538771135463832
211,2019,0,0.04740573978966286,0.0315002773802308,0.21339200779009068,0.21232626812782993,0,0.015598772088157652,0.01019160450496999,0.03575336436841996,0.03538771135463832,0,0.06300451187782051,0.04169188188520079,0.24914537215851063,0.24771397948246826
211,2020,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.04740573978966286,0.0315002773802308,0.21339200779009068,0.21232626812782993,0,0.10379665358639309,0.06807598324622498,0.4799488335571711,0.47773410328761734
211,2021,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.11278182759346046,0.07315141173198836,0.5331136515341608,0.5308156703195748
211,2022,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.11278182759346046,0.07315141173198836,0.5331136515341608,0.5308156703195748
211,2023,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.11278182759346046,0.07315141173198836,0.5331136515341608,0.5308156703195748
211,2024,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.11278182759346046,0.07315141173198836,0.5331136515341608,0.5308156703195748
211,2025,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.05639091379673023,0.03657570586599418,0.2665568257670804,0.2654078351597874,0,0.11278182759346046,0.07315141173198836,0.5331136515341608,0.5308156703195748
212,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
212,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2018,0,0.01522257443195024,0.009312725675168426,0.016532764817886993,0.01219353361560025,0,0,0,0,0,0,0.01522257443195024,0.009312725675168426,0.016532764817886993,0.01219353361560025
212,2019,0,0.05301759629618276,0.03621245162330515,0.05451613573916594,0.03496304924415971,0,0.01522257443195024,0.009312725675168426,0.016532764817886993,0.01219353361560025,0,0.068240170728133,0.04552517729847358,0.07104890055705293,0.04715658285975996
212,2020,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.05301759629618276,0.03621245162330515,0.05451613573916594,0.03496304924415971,0,0.11593366345729592,0.07980207616152171,0.12270044174027231,0.07871951144595157
212,2021,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.1258321343222263,0.08717924907643312,0.13636861200221276,0.08751292440358374
212,2022,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.1258321343222263,0.08717924907643312,0.13636861200221276,0.08751292440358374
212,2023,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.1258321343222263,0.08717924907643312,0.13636861200221276,0.08751292440358374
212,2024,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.1258321343222263,0.08717924907643312,0.13636861200221276,0.08751292440358374
212,2025,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.06291606716111316,0.04358962453821656,0.06818430600110638,0.04375646220179187,0,0.1258321343222263,0.08717924907643312,0.13636861200221276,0.08751292440358374
213,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
213,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2018,0,0.015342384993284063,0.009697646141263427,0,0,0,0,0,0,0,0,0.015342384993284063,0.009697646141263427,0,0
213,2019,0,0.05093212427401661,0.03358284174948306,0,0,0,0.015342384993284063,0.009697646141263427,0,0,0,0.06627450926730068,0.04328048789074649,0,0
213,2020,0,0.06011697357740703,0.039881653538664415,0,0,0,0.05093212427401661,0.03358284174948306,0,0,0,0.11104909785142364,0.07346449528814747,0,0
213,2021,0,0.06011697357740703,0.039881653538664415,0,0,0,0.06011697357740703,0.039881653538664415,0,0,0,0.12023394715481406,0.07976330707732883,0,0
213,2022,0,0.06011697357740703,0.039881653538664415,0,0,0,0.06011697357740703,0.039881653538664415,0,0,0,0.12023394715481406,0.07976330707732883,0,0
213,2023,0,0.06011697357740703,0.039881653538664415,0,0,0,0.06011697357740703,0.039881653538664415,0,0,0,0.12023394715481406,0.07976330707732883,0,0
213,2024,0,0.06011697357740703,0.039881653538664415,0,0,0,0.06011697357740703,0.039881653538664415,0,0,0,0.12023394715481406,0.07976330707732883,0,0
213,2025,0,0.06011697357740703,0.039881653538664415,0,0,0,0.06011697357740703,0.039881653538664415,0,0,0,0.12023394715481406,0.07976330707732883,0,0
22,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
22,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2018,0,0.005313665041730839,0.004274068350753689,0.006677284222674532,0,0,0,0,0,0,0,0.005313665041730839,0.004274068350753689,0.006677284222674532,0
22,2019,0,0.028816477295963372,0.025644410104522137,0.022569412599457148,0,0,0.005313665041730839,0.004274068350753689,0.006677284222674532,0,0,0.03413014233769421,0.029918478455275826,0.029246696822131678,0
22,2020,0,0.0357141809268551,0.03205551263065267,0.027316504109393236,0,0,0.028816477295963372,0.025644410104522137,0.022569412599457148,0,0,0.06453065822281848,0.05769992273517481,0.049885916708850384,0
22,2021,0,0.0357141809268551,0.03205551263065267,0.027316504109393236,0,0,0.0357141809268551,0.03205551263065267,0.027316504109393236,0,0,0.0714283618537102,0.06411102526130534,0.05463300821878647,0
22,2022,0,0.0357141809268551,0.03205551263065267,0.027316504109393236,0,0,0.0357141809268551,0.03205551263065267,0.027316504109393236,0,0,0.0714283618537102,0.06411102526130534,0.05463300821878647,0
