industry_code,year,direct_tariff_shock,w_input_share_shock,w_binary_5pct_shock,w_symmetric_shock,w_distance_5pct_shock,lag1_direct_tariff_shock,lag1_w_input_share_shock,lag1_w_binary_5pct_shock,lag1_w_symmetric_shock,lag1_w_distance_5pct_shock,direct_tariff_shock_cum01,w_input_share_shock_cum01,w_binary_5pct_shock_cum01,w_symmetric_shock_cum01,w_distance_5pct_shock_cum01
111CA,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
111CA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111CA,2018,0.03333333333333333,0.024494328737435116,0.026735613215735976,0.02859152426398568,0.010970613919265713,0,0,0,0,0,0.03333333333333333,0.024494328737435116,0.026735613215735976,0.02859152426398568,0.010970613919265713
111CA,2019,0.2,0.08412652984286902,0.10764863375026464,0.09467289450568686,0.036152259351217145,0.03333333333333333,0.024494328737435116,0.026735613215735976,0.02859152426398568,0.010970613919265713,0.23333333333333334,0.10862085858030412,0.1343842469660006,0.12326441876967253,0.047122873270482854
111CA,2020,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.2,0.08412652984286902,0.10764863375026464,0.09467289450568686,0.036152259351217145,0.45,0.18627973272325937,0.23974298020546664,0.21225083500769393,0.07988385007065607
111CA,2021,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.5,0.20430640576078074,0.26418869291040403,0.2351558810040141,0.08746318143887784
111CA,2022,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.5,0.20430640576078074,0.26418869291040403,0.2351558810040141,0.08746318143887784
111CA,2023,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.5,0.20430640576078074,0.26418869291040403,0.2351558810040141,0.08746318143887784
111CA,2024,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.5,0.20430640576078074,0.26418869291040403,0.2351558810040141,0.08746318143887784
111CA,2025,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.25,0.10215320288039037,0.13209434645520202,0.11757794050200705,0.04373159071943892,0.5,0.20430640576078074,0.26418869291040403,0.2351558810040141,0.08746318143887784
113FF,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
113FF,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF,2018,0,0.021266954183130442,0.02746560044938031,0.017022471312134028,0.012275584652276357,0,0,0,0,0,0,0.021266954183130442,0.02746560044938031,0.017022471312134028,0.012275584652276357
113FF,2019,0,0.08063205126707028,0.08013200324346714,0.07136444575808097,0.04222275523838116,0,0.021266954183130442,0.02746560044938031,0.017022471312134028,0.012275584652276357,0,0.10189900545020072,0.10759760369284746,0.088386917070215,0.05449833989065752
113FF,2020,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.08063205126707028,0.08013200324346714,0.07136444575808097,0.04222275523838116,0,0.17575250297965145,0.1664812686571676,0.1580203398533922,0.09325988058551356
113FF,2021,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.19024090342516237,0.17269853082740094,0.17331178819062248,0.10207425069426479
113FF,2022,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.19024090342516237,0.17269853082740094,0.17331178819062248,0.10207425069426479
113FF,2023,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.19024090342516237,0.17269853082740094,0.17331178819062248,0.10207425069426479
113FF,2024,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.19024090342516237,0.17269853082740094,0.17331178819062248,0.10207425069426479
113FF,2025,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.09512045171258118,0.08634926541370047,0.08665589409531124,0.051037125347132395,0,0.19024090342516237,0.17269853082740094,0.17331178819062248,0.10207425069426479
211,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
211,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2018,0,0.01829760867860671,0.02346074014632772,0.023409440736467224,0.013405730430171785,0,0,0,0,0,0,0.01829760867860671,0.02346074014632772,0.023409440736467224,0.013405730430171785
211,2019,0,0.05560768955972066,0.072488845612025,0.11267707272430878,0.043465273172995714,0,0.01829760867860671,0.02346074014632772,0.023409440736467224,0.013405730430171785,0,0.07390529823832737,0.09594958575835272,0.136086513460776,0.0568710036031675
211,2020,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.05560768955972066,0.072488845612025,0.11267707272430878,0.043465273172995714,0,0.12175513166927973,0.15630891786838333,0.25175242543151305,0.09536985464916768
211,2021,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.13229488421911814,0.16764014451271667,0.2781507054144085,0.10380916295234394
211,2022,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.13229488421911814,0.16764014451271667,0.2781507054144085,0.10380916295234394
211,2023,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.13229488421911814,0.16764014451271667,0.2781507054144085,0.10380916295234394
211,2024,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.13229488421911814,0.16764014451271667,0.2781507054144085,0.10380916295234394
211,2025,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.06614744210955907,0.08382007225635833,0.13907535270720425,0.05190458147617197,0,0.13229488421911814,0.16764014451271667,0.2781507054144085,0.10380916295234394
212,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
212,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2018,0,0.01803602570250467,0.016461403314566813,0.021270705008781934,0.013444288856726916,0,0,0,0,0,0,0.01803602570250467,0.016461403314566813,0.021270705008781934,0.013444288856726916
212,2019,0,0.06281636090909636,0.06374519032658556,0.07794737230630995,0.04247620641335129,0,0.01803602570250467,0.016461403314566813,0.021270705008781934,0.013444288856726916,0,0.08085238661160102,0.08020659364115237,0.09921807731509188,0.05592049527007821
212,2020,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.06281636090909636,0.06374519032658556,0.07794737230630995,0.04247620641335129,0,0.13736063786376435,0.14044167405023297,0.17302031388301614,0.09362181661837746
212,2021,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.149088553909336,0.15339296744729483,0.19014588315341238,0.10229122041005234
212,2022,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.149088553909336,0.15339296744729483,0.19014588315341238,0.10229122041005234
212,2023,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.149088553909336,0.15339296744729483,0.19014588315341238,0.10229122041005234
212,2024,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.149088553909336,0.15339296744729483,0.19014588315341238,0.10229122041005234
212,2025,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.074544276954668,0.07669648372364742,0.09507294157670619,0.05114561020502617,0,0.149088553909336,0.15339296744729483,0.19014588315341238,0.10229122041005234
213,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
213,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2018,0,0.016729665022084766,0.016461403314566813,0.014107570016385898,0.011538368449534035,0,0,0,0,0,0,0.016729665022084766,0.016461403314566813,0.014107570016385898,0.011538368449534035
213,2019,0,0.055537478582402676,0.06374519032658556,0.04683290828599881,0.0367231706549576,0,0.016729665022084766,0.016461403314566813,0.014107570016385898,0.011538368449534035,0,0.07226714360448744,0.08020659364115237,0.06094047830238471,0.04826153910449164
213,2020,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.055537478582402676,0.06374519032658556,0.04683290828599881,0.0367231706549576,0,0.12109031345988677,0.14044167405023297,0.10211143338413302,0.08063219884569414
213,2021,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.1311056697549682,0.15339296744729483,0.11055705019626842,0.08781805638147308
213,2022,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.1311056697549682,0.15339296744729483,0.11055705019626842,0.08781805638147308
213,2023,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.1311056697549682,0.15339296744729483,0.11055705019626842,0.08781805638147308
213,2024,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.1311056697549682,0.15339296744729483,0.11055705019626842,0.08781805638147308
213,2025,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.0655528348774841,0.07669648372364742,0.05527852509813421,0.04390902819073654,0,0.1311056697549682,0.15339296744729483,0.11055705019626842,0.08781805638147308
22,2016,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0
22,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2018,0,0.006789978616095032,0.008333333333333333,0.008410763102828874,0.009502259564266842,0,0,0,0,0,0,0.006789978616095032,0.008333333333333333,0.008410763102828874,0.009502259564266842
