area_fips,own_code,naics_code,agglvl_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_hs8_total,n_hs8_targeted,pce_price_index_2017_100,has_301_import_weight,naics_fe,ln_avg_annual_pay,dln_avg_annual_pay,ln_avg_weekly_wage,dln_avg_weekly_wage,real_annual_pay_pce,ln_real_annual_pay_pce,dln_real_annual_pay_pce,real_weekly_wage_pce,ln_real_weekly_wage_pce,dln_real_weekly_wage_pce,lag1_tariff_301_direct,lag2_tariff_301_direct,tariff_301_direct_cum01,tariff_301_direct_cum02,d_tariff_301_direct
US000,5,541870,18,2017,1458,11097,526544274,912,47449,0,0,0,0,0,100.00016666666666,0,541870,10.767410729000401,0.05532902004549278,6.815639990074331,0.05522529899090323,47448.92091846513,10.767409062335124,0.03802180578384906,911.9984800025334,6.815638323409054,0.03791808472926039,0,NA,0,0,0
US000,5,541870,18,2018,1912,12089,626000902,996,51782,0,0,0,0,0,102.047,0,541870,10.854797877511324,0.08738714851092233,6.903747257584598,0.0881072675102672,50743.28495693161,10.83453457202991,0.06712550969478492,976.0208531362999,6.883483952103185,0.06784562869413069,0,0,0,0,0
US000,5,541870,18,2019,2208,13548,691500337,982,51040,0,0,0,0,0,103.50875,0,541870,10.840364918018672,-0.014432959492651776,6.889591308354466,-0.014155949230132414,49309.84095547477,10.80587895381193,-0.028655618217978684,948.7120654050984,6.855105344147725,-0.028378607955459323,0,0,0,0,0
US000,5,541870,18,2020,2596,10843,663883394,1177,61225,0,0,0,0,0,104.66641666666668,0,541870,11.022310881820369,0.18194596380169692,7.0707241072602764,0.1811327989058107,58495.362648159185,10.9767027591062,0.170823805294269,1124.524978960937,7.025115984546109,0.17001064039838365,0,0,0,0,0
US000,5,541870,18,2021,3237,12310,858178698,1341,69713,0,0,0,0,0,108.97258333333332,0,541870,11.152142092986953,0.12983121116658403,7.201170883281678,0.13044677602140187,63972.97179489337,11.066215957436626,0.08951319833042604,1230.584757175161,7.115244747731351,0.0901287631852421,0,0,0,0,0
US000,5,541870,18,2022,3983,16144,1182305104,1408,73235,0,0,0,0,0,116.10041666666666,0,541870,11.201428727752408,0.049286634765454806,7.249925536717988,0.04875465343630925,63079.01565096307,11.052143436182915,-0.014072521253710946,1212.7432789862225,7.100640245148496,-0.014604502582855616,0,0,0,0,0
US000,5,541870,18,2023,4342,16748,1279582200,1469,76401,0,0,0,0,0,120.51066666666668,0,541870,11.243751064074187,0.04232233632177973,7.292337176173877,0.04241163945588955,63397.70753349634,11.057182980993913,0.005039544810998109,1218.9792328203312,7.105769093093603,0.00512884794510704,0,0,0,0,0
US000,5,541870,18,2024,4310,17215,1301952215,1454,75629,0,0,0,0,0,123.66608333333332,0,541870,11.233595086496363,-0.01015597757782416,7.282073658093465,-0.010263518080412481,61155.81407729013,11.021180215537386,-0.036002765456526475,1175.7467858675886,7.069658787134488,-0.0361103059591148,0,0,0,0,0
US000,5,541870,18,2025,4031,17308,1343966067,1493,77651,0,0,0,0,0,126.91908333333332,0,541870,11.259979706793972,0.02638462029760902,7.30854279753919,0.02646913944572571,61181.50081186898,11.021600148490462,4.1993295307563017e-4,1176.3400434266189,7.070163239235679,5.044521011914327e-4,0,0,0,0,0
US000,5,541890,18,2016,8415,94878,3157776302,640,33282,0,0,0,0,0,98.28433333333334,0,541890,10.41277198928329,NA,6.461468176353717,NA,33862.975787935,10.430077536879654,NA,651.1719399158225,6.478773723950083,NA,NA,NA,0,0,NA
US000,5,541890,18,2017,8353,97483,3302488891,651,33878,0,0,0,0,0,100.00016666666666,0,541890,10.430521115146327,0.017749125863037563,6.478509642208569,0.017041465854851445,33877.94353676077,10.43051944848105,4.41911601395617e-4,650.9989150018083,6.478507975543291,-2.657484067922766e-4,0,NA,0,0,0
