matrix,industry_code,neighbor_code,weight,neighbor_name,industry_name
input_share,5415,211,6.974424784315916e-6,Oil and gas extraction,Computer systems design and related services
input_share,55,211,1.3453397431297985e-5,Oil and gas extraction,Management of companies and enterprises
input_share,562,211,3.5223049963896374e-5,Oil and gas extraction,Waste management and remediation services
input_share,61,211,0.0018854799736398918,Oil and gas extraction,Educational services
input_share,621,211,2.764156628171179e-6,Oil and gas extraction,Ambulatory health care services
input_share,623,211,9.849984732523664e-6,Oil and gas extraction,Nursing and residential care facilities
input_share,713,211,3.5193156284684795e-4,Oil and gas extraction,"Amusements, gambling, and recreation industries"
input_share,721,211,1.8383704684167955e-5,Oil and gas extraction,Accommodation
input_share,722,211,2.48395982940164e-6,Oil and gas extraction,Food services and drinking places
input_share,81,211,2.3263388079839956e-5,Oil and gas extraction,"Other services, except government"
input_share,ORE,211,4.837363168941008e-5,Oil and gas extraction,Other real estate
input_share,111CA,212,0.010365177982245342,"Mining, except oil and gas",Farms
input_share,211,212,9.173785906771302e-4,"Mining, except oil and gas",Oil and gas extraction
input_share,213,212,0.00358712512926577,"Mining, except oil and gas",Support activities for mining
input_share,22,212,0.054658896126157035,"Mining, except oil and gas",Utilities
input_share,23,212,0.0292738957525266,"Mining, except oil and gas",Construction
input_share,311FT,212,0.0035965392174741036,"Mining, except oil and gas",Food and beverage and tobacco products
input_share,313TT,212,0.002436522185175679,"Mining, except oil and gas",Textile mills and textile product mills
input_share,321,212,2.8455729451679366e-4,"Mining, except oil and gas",Wood products
input_share,322,212,0.02828034929513155,"Mining, except oil and gas",Paper products
input_share,324,212,0.011553484253795829,"Mining, except oil and gas",Petroleum and coal products
input_share,325,212,0.03573531049625305,"Mining, except oil and gas",Chemical products
input_share,326,212,0.0012655185090919318,"Mining, except oil and gas",Plastics and rubber products
input_share,327,212,0.2592392458073606,"Mining, except oil and gas",Nonmetallic mineral products
input_share,331,212,0.19372202500385866,"Mining, except oil and gas",Primary metals
input_share,332,212,0.003315132605304204,"Mining, except oil and gas",Fabricated metal products
input_share,333,212,6.412928463782954e-4,"Mining, except oil and gas",Machinery
input_share,334,212,1.4198242967432788e-4,"Mining, except oil and gas",Computer and electronic products
input_share,335,212,0.0016478662680076024,"Mining, except oil and gas","Electrical equipment, appliances, and components"
input_share,3361MV,212,3.343719127593283e-4,"Mining, except oil and gas","Motor vehicles, bodies and trailers, and parts"
input_share,3364OT,212,0.001481924111144298,"Mining, except oil and gas",Other transportation equipment
input_share,337,212,5.07949408238936e-4,"Mining, except oil and gas",Furniture and related products
input_share,339,212,0.0018511774702597635,"Mining, except oil and gas",Miscellaneous manufacturing
input_share,42,212,2.7678117334458916e-5,"Mining, except oil and gas",Wholesale trade
input_share,482,212,0.00431202431358287,"Mining, except oil and gas",Rail transportation
input_share,484,212,4.5928443485050303e-5,"Mining, except oil and gas",Truck transportation
input_share,485,212,1.825750383407581e-5,"Mining, except oil and gas",Transit and ground passenger transportation
input_share,487OS,212,2.271281911510857e-5,"Mining, except oil and gas",Other transportation and support activities
input_share,493,212,3.7184397426839703e-5,"Mining, except oil and gas",Warehousing and storage
input_share,4A0,212,4.900519455062237e-6,"Mining, except oil and gas",Other retail
input_share,511,212,2.08511436852299e-4,"Mining, except oil and gas","Publishing industries, except internet (includes software)"
input_share,512,212,4.7707647535899045e-4,"Mining, except oil and gas",Motion picture and sound recording industries
input_share,513,212,0.001109004155342727,"Mining, except oil and gas",Broadcasting and telecommunications
input_share,514,212,0.004519425554427168,"Mining, except oil and gas","Data processing, internet publishing, and other information services"
input_share,5412OP,212,0.003758979087690532,"Mining, except oil and gas","Miscellaneous professional, scientific, and technical services"
input_share,55,212,2.1973882471119306e-4,"Mining, except oil and gas",Management of companies and enterprises
input_share,561,212,0.002616580859763975,"Mining, except oil and gas",Administrative and support services
input_share,562,212,0.0010390799739349388,"Mining, except oil and gas",Waste management and remediation services
input_share,61,212,0.004283517610016833,"Mining, except oil and gas",Educational services
input_share,622,212,6.482157860489004e-5,"Mining, except oil and gas",Hospitals
input_share,623,212,3.644494351033695e-4,"Mining, except oil and gas",Nursing and residential care facilities
input_share,624,212,0.0030543494535110014,"Mining, except oil and gas",Social assistance
input_share,711AS,212,0.005031213717208769,"Mining, except oil and gas","Performing arts, spectator sports, museums, and related activities"
input_share,713,212,0.01013833617585749,"Mining, except oil and gas","Amusements, gambling, and recreation industries"
input_share,721,212,0.001507463784101765,"Mining, except oil and gas",Accommodation
input_share,722,212,0.0025013475482074453,"Mining, except oil and gas",Food services and drinking places
input_share,81,212,0.005230385086617341,"Mining, except oil and gas","Other services, except government"
input_share,HS,212,2.4242130398419414e-5,"Mining, except oil and gas",Housing
input_share,211,213,0.17420364166536978,Support activities for mining,Oil and gas extraction
input_share,212,213,0.02592410494792831,Support activities for mining,"Mining, except oil and gas"
input_share,5412OP,213,6.602688888129961e-5,Support activities for mining,"Miscellaneous professional, scientific, and technical services"
input_share,55,213,1.3453397431297985e-5,Support activities for mining,Management of companies and enterprises
input_share,111CA,22,0.059900145672771646,Utilities,Farms
input_share,113FF,22,0.01246458923512748,Utilities,"Forestry, fishing, and related activities"
input_share,211,22,0.06004734328798316,Utilities,Oil and gas extraction
input_share,212,22,0.09866803736646851,Utilities,"Mining, except oil and gas"
input_share,213,22,0.013055842812823158,Utilities,Support activities for mining
input_share,23,22,0.012177537514567821,Utilities,Construction
input_share,311FT,22,0.019291633740603397,Utilities,Food and beverage and tobacco products
input_share,313TT,22,0.04065144908951014,Utilities,Textile mills and textile product mills
input_share,315AL,22,0.004921928038017649,Utilities,Apparel and leather and allied products
input_share,321,22,0.0392251285980081,Utilities,Wood products
input_share,322,22,0.08536898578848243,Utilities,Paper products
input_share,323,22,0.03342406951787679,Utilities,Printing and related support activities
input_share,324,22,0.01638290731744472,Utilities,Petroleum and coal products
input_share,325,22,0.07807884255355264,Utilities,Chemical products
input_share,326,22,0.036799015864935954,Utilities,Plastics and rubber products
input_share,327,22,0.07927900110002511,Utilities,Nonmetallic mineral products
input_share,331,22,0.10082574471369042,Utilities,Primary metals
input_share,332,22,0.029629366992861547,Utilities,Fabricated metal products
input_share,333,22,0.014065689763897354,Utilities,Machinery
input_share,334,22,0.02905315467210933,Utilities,Computer and electronic products
input_share,335,22,0.014168252242457194,Utilities,"Electrical equipment, appliances, and components"
input_share,3361MV,22,0.012561744813435662,Utilities,"Motor vehicles, bodies and trailers, and parts"
input_share,3364OT,22,0.03683298476247387,Utilities,Other transportation equipment
input_share,337,22,0.01625438106364606,Utilities,Furniture and related products
input_share,339,22,0.01515841223597961,Utilities,Miscellaneous manufacturing
input_share,42,22,0.018414020811637725,Utilities,Wholesale trade
input_share,441,22,0.0413955765208491,Utilities,Motor vehicle and parts dealers
input_share,445,22,0.10727743758831844,Utilities,Food and beverage stores
input_share,452,22,0.10027985634841519,Utilities,General merchandise stores
input_share,481,22,0.012859974958263777,Utilities,Air transportation
input_share,482,22,0.0019222277060550084,Utilities,Rail transportation
input_share,483,22,0.005938996969400713,Utilities,Water transportation
input_share,484,22,0.02401547278229408,Utilities,Truck transportation
input_share,485,22,0.008873146863360834,Utilities,Transit and ground passenger transportation
input_share,486,22,0.08610389018105533,Utilities,Pipeline transportation
input_share,487OS,22,0.017704642500227127,Utilities,Other transportation and support activities
input_share,493,22,0.04967835496225784,Utilities,Warehousing and storage
input_share,4A0,22,0.04332549250220523,Utilities,Other retail
input_share,511,22,0.009372589086511385,Utilities,"Publishing industries, except internet (includes software)"
input_share,512,22,0.011306712466008303,Utilities,Motion picture and sound recording industries
input_share,513,22,0.022050014718265024,Utilities,Broadcasting and telecommunications
input_share,514,22,0.021363590444339286,Utilities,"Data processing, internet publishing, and other information services"
input_share,521CI,22,0.012612729187559084,Utilities,"Federal Reserve banks, credit intermediation, and related activities"
input_share,523,22,0.005471747383645017,Utilities,"Securities, commodity contracts, and investments"
input_share,524,22,0.004790384601510686,Utilities,Insurance carriers and related activities
input_share,525,22,0.016106041234992433,Utilities,"Funds, trusts, and other financial vehicles"
input_share,532RL,22,0.010224053214349261,Utilities,Rental and leasing services and lessors of intangible assets
input_share,5411,22,0.009064656902736227,Utilities,Legal services
input_share,5412OP,22,0.014254977630545401,Utilities,"Miscellaneous professional, scientific, and technical services"
input_share,5415,22,0.006304880005021583,Utilities,Computer systems design and related services
input_share,55,22,0.025431405610963624,Utilities,Management of companies and enterprises
input_share,561,22,0.009248077289773088,Utilities,Administrative and support services
input_share,562,22,0.0272274176220919,Utilities,Waste management and remediation services
input_share,61,22,0.0539649996338874,Utilities,Educational services
input_share,621,22,0.012361308441181506,Utilities,Ambulatory health care services
input_share,622,22,0.021792516099436297,Utilities,Hospitals
input_share,623,22,0.03907488943392137,Utilities,Nursing and residential care facilities
input_share,624,22,0.013724609472475918,Utilities,Social assistance
input_share,711AS,22,0.019535916808292246,Utilities,"Performing arts, spectator sports, museums, and related activities"
input_share,713,22,0.04889141557703241,Utilities,"Amusements, gambling, and recreation industries"
input_share,721,22,0.059701080961835434,Utilities,Accommodation
input_share,722,22,0.052081185743064175,Utilities,Food services and drinking places
input_share,81,22,0.030719303959428658,Utilities,"Other services, except government"
input_share,HS,22,6.828200062221419e-4,Utilities,Housing
input_share,ORE,22,0.05893936911421639,Utilities,Other real estate
input_share,111CA,23,0.00952475814584708,Construction,Farms
input_share,113FF,23,0.004532577903682696,Construction,"Forestry, fishing, and related activities"
input_share,211,23,0.0012286320410854537,Construction,Oil and gas extraction
input_share,212,23,0.07819693380413892,Construction,"Mining, except oil and gas"
input_share,213,23,0.04466132368148914,Construction,Support activities for mining
input_share,22,23,0.0396777511141584,Construction,Utilities
input_share,311FT,23,0.00417401171154742,Construction,Food and beverage and tobacco products
input_share,313TT,23,0.0050012823800974614,Construction,Textile mills and textile product mills
input_share,315AL,23,0.0010183299389001951,Construction,Apparel and leather and allied products
input_share,321,23,0.006895042136368599,Construction,Wood products
input_share,322,23,0.015681182580902904,Construction,Paper products
input_share,323,23,0.008401821703397367,Construction,Printing and related support activities
input_share,324,23,0.021816900838544,Construction,Petroleum and coal products
input_share,325,23,0.011418540145211152,Construction,Chemical products
input_share,326,23,0.005818557167500911,Construction,Plastics and rubber products
input_share,327,23,0.017156531640195295,Construction,Nonmetallic mineral products
input_share,331,23,0.02033492822966507,Construction,Primary metals
input_share,332,23,0.00827305819505507,Construction,Fabricated metal products
input_share,333,23,0.004937954917112898,Construction,Machinery
input_share,334,23,0.009743544236400748,Construction,Computer and electronic products
input_share,335,23,0.0029389779831475943,Construction,"Electrical equipment, appliances, and components"
input_share,3361MV,23,0.0031613344479063735,Construction,"Motor vehicles, bodies and trailers, and parts"
input_share,3364OT,23,0.0052703913952793485,Construction,Other transportation equipment
input_share,337,23,0.0034286585056128344,Construction,Furniture and related products
input_share,339,23,0.005128672007768873,Construction,Miscellaneous manufacturing
input_share,42,23,0.004466556184848301,Construction,Wholesale trade
input_share,441,23,0.01222019491789417,Construction,Motor vehicle and parts dealers
input_share,445,23,0.010940778486704066,Construction,Food and beverage stores
