area_fips,own_code,naics_code,agglvl_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_hs8_total,n_hs8_targeted,pce_price_index_2017_100,has_301_import_weight,naics_fe,ln_avg_annual_pay,dln_avg_annual_pay,ln_avg_weekly_wage,dln_avg_weekly_wage,real_annual_pay_pce,ln_real_annual_pay_pce,dln_real_annual_pay_pce,real_weekly_wage_pce,ln_real_weekly_wage_pce,dln_real_weekly_wage_pce,lag1_tariff_301_direct,lag2_tariff_301_direct,tariff_301_direct_cum01,tariff_301_direct_cum02,d_tariff_301_direct
US000,5,111110,18,2016,999,4850,163868363,650,33788,0,1,9.692475,2,0,98.28433333333334,1,111110,10.427860988847387,NA,6.476972362889683,NA,34377.80860293095,10.445166536443752,NA,661.3465014770071,6.494277910486049,NA,NA,NA,0,0,NA
US000,5,111110,18,2017,1034,4839,171606884,682,35463,0,1,9.692475,2,0,100.00016666666666,1,111110,10.476245178418486,0.0483841895710988,6.525029657843462,0.04805729495377964,35462.94089509851,10.476243511753209,0.031076975309456856,681.9988633352277,6.5250279911781845,0.030750080692135917,0,NA,0,0,0
US000,5,111110,18,2018,1071,4861,178092658,705,36640,0.03333333333333333,1,9.692475,2,2,102.047,1,111110,10.508895818788067,0.03265064036958165,6.558197802812269,0.0331681449688066,35905.02415553617,10.488632513306653,0.012389001553444245,690.8581339970798,6.537934497330855,0.012906506152670083,0,0,0.03333333333333333,0.03333333333333333,0.03333333333333333
US000,5,111110,18,2019,1119,5003,190344750,732,38046,0.2,1,9.692475,2,2,103.50875,1,111110,10.546551232928087,0.03765541414001916,6.595780513961311,0.037582711149042325,36756.31287210018,10.512065268721347,0.02343275541469403,707.1865905056335,6.561294549754571,0.023360052423716304,0.03333333333333333,0,0.23333333333333334,0.23333333333333334,0.16666666666666669
US000,5,111110,18,2020,1159,5020,204713578,784,40782,0.25,1,9.692475,2,2,104.66641666666668,1,111110,10.615996086574693,0.06944485364660657,6.664409020350408,0.06862850638909634,38963.78733388694,10.570387963860526,0.05832269513917865,749.0463751107685,6.61880089763624,0.057506347881669306,0.2,0.03333333333333333,0.45,0.48333333333333334,0.04999999999999999
US000,5,111110,18,2021,1211,5011,207076048,795,41326,0.25,1,9.692475,2,2,108.97258333333332,1,111110,10.62924712082355,0.013251034248856541,6.678342114654332,0.01393309430392442,37923.3002796575,10.543320985273223,-0.027066978587303225,729.5412989964601,6.592415979104005,-0.026384918532235346,0.25,0.2,0.5,0.7,0
US000,5,111110,18,2022,1315,5180,230918956,857,44583,0.25,1,9.692475,2,2,116.10041666666666,1,111110,10.705107899426679,0.07586077860312912,6.75343791859778,0.07509580394344795,38400.378982274684,10.555822607857186,0.012501622583963368,738.1541122806766,6.604152627028287,0.011736647924282195,0.25,0.25,0.5,0.75,0
US000,5,111110,18,2023,1423,5462,265377075,934,48586,0.25,1,9.692475,2,2,120.51066666666668,1,111110,10.791090702546029,0.08598280311935014,6.839476438228843,0.0860385196310629,40316.76310810661,10.604522619465754,0.048700011608568516,775.0351282873991,6.652908355148568,0.04875572812028128,0.25,0.25,0.5,0.75,0
US000,5,111110,18,2024,1464,5523,268063125,933,48538,0.25,1,9.692475,2,2,123.66608333333332,1,111110,10.790102275300281,-9.884272457476584e-4,6.838405200847344,-0.0010712373814989462,39249.24174170633,10.577687404341305,-0.026835215124449974,754.4509980842229,6.625990329888367,-0.02691802526020126,0.25,0.25,0.5,0.75,0
US000,5,111110,18,2025,1506,5482,276862984,971,50509,0.25,1,9.692475,2,2,126.91908333333332,1,111110,10.829906817206323,0.03980454190604199,6.878326468291325,0.03992126744398128,39796.2218710215,10.591527258902813,0.013839854561508602,765.0543751957448,6.639946909987814,0.013956580099447002,0.25,0.25,0.5,0.75,0
