industry_code,year,network_tariff_shock,network_tariff_shock_5pct,network_tariff_shock_excl_own
111CA,2016,0,0,0
111CA,2017,0,0,0
111CA,2018,0.027867611571872453,0.025575205431668777,0.014823800239649292
111CA,2019,0.12917566852825052,0.12265439482262284,0.05091280053491151
111CA,2020,0.1596510047677644,0.15217466890636558,0.061822419776090605
111CA,2021,0.1596510047677644,0.15217466890636558,0.061822419776090605
111CA,2022,0.1596510047677644,0.15217466890636558,0.061822419776090605
111CA,2023,0.1596510047677644,0.15217466890636558,0.061822419776090605
111CA,2024,0.1596510047677644,0.15217466890636558,0.061822419776090605
111CA,2025,0.1596510047677644,0.15217466890636558,0.061822419776090605
113FF,2016,0,0,0
113FF,2017,0,0,0
113FF,2018,0.007978780770161594,0.0032985576052502654,0.007978780770161594
113FF,2019,0.030250944943432664,0.009623675594124546,0.030250944943432664
113FF,2020,0.035686597358424,0.010370354970504998,0.035686597358424
113FF,2021,0.035686597358424,0.010370354970504998,0.035686597358424
113FF,2022,0.035686597358424,0.010370354970504998,0.035686597358424
113FF,2023,0.035686597358424,0.010370354970504998,0.035686597358424
113FF,2024,0.035686597358424,0.010370354970504998,0.035686597358424
113FF,2025,0.035686597358424,0.010370354970504998,0.035686597358424
211,2016,0,0,0
211,2017,0,0,0
211,2018,0.015598772088157652,0.01019160450496999,0.015598772088157652
211,2019,0.04740573978966286,0.0315002773802308,0.04740573978966286
211,2020,0.05639091379673023,0.03657570586599418,0.05639091379673023
211,2021,0.05639091379673023,0.03657570586599418,0.05639091379673023
211,2022,0.05639091379673023,0.03657570586599418,0.05639091379673023
211,2023,0.05639091379673023,0.03657570586599418,0.05639091379673023
211,2024,0.05639091379673023,0.03657570586599418,0.05639091379673023
211,2025,0.05639091379673023,0.03657570586599418,0.05639091379673023
212,2016,0,0,0
212,2017,0,0,0
212,2018,0.01522257443195024,0.009312725675168426,0.01522257443195024
212,2019,0.05301759629618276,0.03621245162330515,0.05301759629618276
212,2020,0.06291606716111316,0.04358962453821656,0.06291606716111316
212,2021,0.06291606716111316,0.04358962453821656,0.06291606716111316
212,2022,0.06291606716111316,0.04358962453821656,0.06291606716111316
212,2023,0.06291606716111316,0.04358962453821656,0.06291606716111316
212,2024,0.06291606716111316,0.04358962453821656,0.06291606716111316
212,2025,0.06291606716111316,0.04358962453821656,0.06291606716111316
213,2016,0,0,0
213,2017,0,0,0
213,2018,0.015342384993284063,0.009697646141263427,0.015342384993284063
213,2019,0.05093212427401661,0.03358284174948306,0.05093212427401661
213,2020,0.06011697357740703,0.039881653538664415,0.06011697357740703
213,2021,0.06011697357740703,0.039881653538664415,0.06011697357740703
213,2022,0.06011697357740703,0.039881653538664415,0.06011697357740703
213,2023,0.06011697357740703,0.039881653538664415,0.06011697357740703
213,2024,0.06011697357740703,0.039881653538664415,0.06011697357740703
213,2025,0.06011697357740703,0.039881653538664415,0.06011697357740703
22,2016,0,0,0
22,2017,0,0,0
22,2018,0.005313665041730839,0.004274068350753689,0.005313665041730839
22,2019,0.028816477295963372,0.025644410104522137,0.028816477295963372
22,2020,0.0357141809268551,0.03205551263065267,0.0357141809268551
22,2021,0.0357141809268551,0.03205551263065267,0.0357141809268551
22,2022,0.0357141809268551,0.03205551263065267,0.0357141809268551
22,2023,0.0357141809268551,0.03205551263065267,0.0357141809268551
22,2024,0.0357141809268551,0.03205551263065267,0.0357141809268551
22,2025,0.0357141809268551,0.03205551263065267,0.0357141809268551
23,2016,0,0,0
23,2017,0,0,0
23,2018,0.027734502226558193,0.024113369375976898,0.027734502226558193
23,2019,0.10899225356517522,0.09623812048231478,0.10899225356517522
23,2020,0.13139603035141015,0.11592181292268128,0.13139603035141015
23,2021,0.13139603035141015,0.11592181292268128,0.13139603035141015
23,2022,0.13139603035141015,0.11592181292268128,0.13139603035141015
23,2023,0.13139603035141015,0.11592181292268128,0.13139603035141015
23,2024,0.13139603035141015,0.11592181292268128,0.13139603035141015
23,2025,0.13139603035141015,0.11592181292268128,0.13139603035141015
311FT,2016,0,0,0
311FT,2017,0,0,0
311FT,2018,0.032539452962841726,0.026573735580476095,0.018908056351313006
311FT,2019,0.14082669296264702,0.12210262565160505,0.09637810112472632
311FT,2020,0.1762987853687212,0.15379515043423292,0.11957117720159369
311FT,2021,0.1762987853687212,0.15379515043423292,0.11957117720159369
311FT,2022,0.1762987853687212,0.15379515043423292,0.11957117720159369
311FT,2023,0.1762987853687212,0.15379515043423292,0.11957117720159369
311FT,2024,0.1762987853687212,0.15379515043423292,0.11957117720159369
311FT,2025,0.1762987853687212,0.15379515043423292,0.11957117720159369
313TT,2016,0,0,0
313TT,2017,0,0,0
313TT,2018,0.014609631092323631,0.012138438586900606,0.014609631092323631
313TT,2019,0.04926036223919406,0.04156359250378876,0.04926036223919406
313TT,2020,0.056162395764757476,0.04685209188076578,0.056162395764757476
313TT,2021,0.056162395764757476,0.04685209188076578,0.056162395764757476
313TT,2022,0.056162395764757476,0.04685209188076578,0.056162395764757476
313TT,2023,0.056162395764757476,0.04685209188076578,0.056162395764757476
313TT,2024,0.056162395764757476,0.04685209188076578,0.056162395764757476
313TT,2025,0.056162395764757476,0.04685209188076578,0.056162395764757476
315AL,2016,0,0,0
315AL,2017,0,0,0
315AL,2018,0.0030415807444949838,0,0.0030415807444949838
315AL,2019,0.00853073614939148,0,0.00853073614939148
315AL,2020,0.010621276272628544,0,0.010621276272628544
315AL,2021,0.010621276272628544,0,0.010621276272628544
315AL,2022,0.010621276272628544,0,0.010621276272628544
315AL,2023,0.010621276272628544,0,0.010621276272628544
315AL,2024,0.010621276272628544,0,0.010621276272628544
315AL,2025,0.010621276272628544,0,0.010621276272628544
321,2016,0,0,0
321,2017,0,0,0
321,2018,0.010522480197557494,0.0014623940946286512,0.010522480197557494
321,2019,0.03388292463014334,0.004266594081931103,0.03388292463014334
321,2020,0.03952812221775776,0.004597629534779266,0.03952812221775776
321,2021,0.03952812221775776,0.004597629534779266,0.03952812221775776
321,2022,0.03952812221775776,0.004597629534779266,0.03952812221775776
321,2023,0.03952812221775776,0.004597629534779266,0.03952812221775776
321,2024,0.03952812221775776,0.004597629534779266,0.03952812221775776
321,2025,0.03952812221775776,0.004597629534779266,0.03952812221775776
322,2016,0,0,0
322,2017,0,0,0
322,2018,0.02630272587518443,0.022410234140490475,0.008556510314019734
322,2019,0.08058818070607755,0.0691169100850601,0.02677205660133026
322,2020,0.09999913465723519,0.0864757192671996,0.031083317986856037
322,2021,0.09999913465723519,0.0864757192671996,0.031083317986856037
322,2022,0.09999913465723519,0.0864757192671996,0.031083317986856037
322,2023,0.09999913465723519,0.0864757192671996,0.031083317986856037
322,2024,0.09999913465723519,0.0864757192671996,0.031083317986856037
322,2025,0.09999913465723519,0.0864757192671996,0.031083317986856037
323,2016,0,0,0
323,2017,0,0,0
323,2018,0.020022069392087095,0.014149791460462822,0.020022069392087095
323,2019,0.06157927435604063,0.042595352032671174,0.06157927435604063
323,2020,0.07537010314960103,0.05292725484388411,0.07537010314960103
323,2021,0.07537010314960103,0.05292725484388411,0.07537010314960103
323,2022,0.07537010314960103,0.05292725484388411,0.07537010314960103
323,2023,0.07537010314960103,0.05292725484388411,0.07537010314960103
323,2024,0.07537010314960103,0.05292725484388411,0.07537010314960103
323,2025,0.07537010314960103,0.05292725484388411,0.07537010314960103
