year,tradable_goods_inflation,nontradable_services_inflation,tradable_minus_nontradable_inflation
2015,-0.4634886580062151,2.608452164388636,-3.071940822394851
2016,-0.4828616907483226,3.1000596293540275,-3.58292132010235
2017,-0.7284326532766006,2.6733986045716103,-3.401831257848211
2018,-0.1963692219066069,2.8977163929118883,-3.0940856148184954
2019,0.219827204417831,2.850015988808876,-2.630188784391045
2020,0.1488463297160153,2.214731740066206,-2.065885410350191
2021,6.330450969746139,2.618783031668084,3.7116679380780555
2022,7.734231598967411,5.632553949916136,2.1016776490512754
2023,0.8866025301415272,6.258189712546875,-5.371587182405348
2024,-1.0714953825976417,5.000259861631373,-6.071755244229015
2025,0.707797650228585,3.598609548363525,-2.89081189813494
