year,industry_code,industry_name,commodity_code,commodity_name,value_musd,total_intermediate_musd,input_share,link_5pct
2019,55,Management of companies and enterprises,22,Utilities,5671.0,226135.0,0.0250779401684834,0
2019,561,Administrative and support services,22,Utilities,3492.0,473915.0,0.0073684099469314,0
2019,562,Waste management and remediation services,22,Utilities,1546.0,69330.0,0.0222991489975479,0
2019,61,Educational services,22,Utilities,5896.0,112881.0,0.0522319965273163,1
2019,621,Ambulatory health care services,22,Utilities,4472.0,378847.0,0.0118042375945962,0
2019,622,Hospitals,22,Utilities,8741.0,406220.0,0.0215178967062183,0
2019,623,Nursing and residential care facilities,22,Utilities,3967.0,102645.0,0.0386477665741146,0
2019,624,Social assistance,22,Utilities,1375.0,100948.0,0.0136208741134049,0
2019,711AS,"Performing arts, spectator sports, museums, and related activities",22,Utilities,1161.0,83875.0,0.0138420268256333,0
2019,713,"Amusements, gambling, and recreation industries",22,Utilities,3612.0,75717.0,0.0477039502357462,0
2019,721,Accommodation,22,Utilities,6495.0,111615.0,0.0581911033463244,1
2019,722,Food services and drinking places,22,Utilities,20967.0,418838.0,0.050059927704745,1
2019,81,"Other services, except government",22,Utilities,7923.0,298895.0,0.0265076364609645,0
2019,GFGD,Federal general government (defense),22,Utilities,4253.0,270064.0,0.0157481189643936,0
2019,GFGN,Federal general government (nondefense),22,Utilities,1501.0,121485.0,0.0123554348273449,0
2019,GFE,Federal government enterprises,22,Utilities,3029.0,33264.0,0.0910594035594035,1
2019,GSLG,State and local general government,22,Utilities,24116.0,842146.0,0.0286363647158568,0
2019,GSLE,State and local government enterprises,22,Utilities,3898.0,231285.0,0.016853665391184,0
2019,111CA,Farms,23,Construction,1530.0,265426.0,0.005764318491783,0
2019,113FF,"Forestry, fishing, and related activities",23,Construction,16.0,9409.0,0.0017004995217345,0
2019,211,Oil and gas extraction,23,Construction,150.0,143210.0,0.0010474128901613,0
2019,212,"Mining, except oil and gas",23,Construction,3499.0,53016.0,0.0659989437151048,1
2019,213,Support activities for mining,23,Construction,2764.0,67484.0,0.0409578566771382,0
2019,22,Utilities,23,Construction,5787.0,186372.0,0.0310508016225613,0
2019,23,Construction,23,Construction,282.0,779205.0,0.0003619073286234,0
2019,321,Wood products,23,Construction,315.0,75557.0,0.0041690379448628,0
2019,327,Nonmetallic mineral products,23,Construction,889.0,72040.0,0.012340366463076,0
2019,331,Primary metals,23,Construction,1054.0,168512.0,0.0062547474363843,0
2019,332,Fabricated metal products,23,Construction,1400.0,218723.0,0.0064007900403706,0
2019,333,Machinery,23,Construction,924.0,230162.0,0.0040145636551646,0
2019,334,Computer and electronic products,23,Construction,549.0,100954.0,0.0054381203320324,0
2019,335,"Electrical equipment, appliances, and components",23,Construction,173.0,71429.0,0.0024219854680871,0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",23,Construction,832.0,488464.0,0.0017032985030626,0
2019,3364OT,Other transportation equipment,23,Construction,441.0,162915.0,0.0027069330632538,0
