io_year,industry_code,industry_name,total_intermediate_musd,value_added_basic_musd,total_industry_output_basic_musd,industry_name_clean,year,gross_output_price_index_2017_100,intermediate_inputs_price_index_2017_100,pce_price_index_2017_100,summary_name,qcew_employment,qcew_total_annual_wages,qcew_avg_annual_pay,qcew_avg_weekly_wage,n_naics_wage_matches,tariff_301_direct,tariff_source,tariff_direct_prelim,tariff_direct_post_prelim,n_naics_tariff_matches,network_tariff_shock,network_tariff_shock_5pct,network_tariff_shock_excl_own,ln_gross_output_price,dln_gross_output_price,ln_intermediate_inputs_price,dln_intermediate_inputs_price,ln_avg_annual_pay,dln_avg_annual_pay,real_annual_pay_go_price,ln_real_annual_pay_go_price,dln_real_annual_pay_go_price,real_annual_pay_pce,ln_real_annual_pay_pce,dln_real_annual_pay_pce,post2021,lag1_network_tariff_shock,lag2_network_tariff_shock,lag1_network_tariff_shock_5pct,lag2_network_tariff_shock_5pct,lag1_network_tariff_shock_excl_own,lag2_network_tariff_shock_excl_own,lag1_tariff_direct_prelim,lag2_tariff_direct_prelim,d_network_tariff_shock,d_network_tariff_shock_5pct,d_network_tariff_shock_excl_own,network_tariff_shock_cum01,network_tariff_shock_cum02,network_tariff_shock_5pct_cum01,network_tariff_shock_5pct_cum02,network_tariff_shock_excl_own_cum01,network_tariff_shock_excl_own_cum02,tariff_direct_prelim_cum01,tariff_direct_prelim_cum02,own_tariff_shock,upstream_tariff_shock,upstream_tariff_shock_5pct,downstream_tariff_shock,downstream_tariff_shock_5pct,lag1_own_tariff_shock,lag1_upstream_tariff_shock,lag1_upstream_tariff_shock_5pct,lag1_downstream_tariff_shock,lag1_downstream_tariff_shock_5pct,own_tariff_shock_cum01,upstream_tariff_shock_cum01,upstream_tariff_shock_5pct_cum01,downstream_tariff_shock_cum01,downstream_tariff_shock_5pct_cum01,industry_fe,price_pressure_gap,input_price_pressure_gap
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875,134759,218634,performing arts spectator sports museums and related activities,2019,103.172,103.818,103.50875,"Performing arts, spectator sports, museums, and related activities",685998.0,56204434390.0,81930.90124169458,1575.5350161370734,6.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.0061815329428209,0.0,0.0061815329428209,4.636397498404664,0.0157969747612147,4.642639366102566,0.0175587154956931,11.313631503218096,0.0296194064450965,79411.95405894484,11.282404190801524,0.0138224316838826,79153.5993253658,11.279145539011358,0.0153967477197696,0,0.0016932964378519,0.0,0.0,0.0,0.0016932964378519,0.0,0.0,0.0,0.0044882365049689,0.0,0.0044882365049689,0.0078748293806729,0.0078748293806729,0.0,0.0,0.0078748293806729,0.0078748293806729,0.0,0.0,0.0,0.0061815329428209,0.0,0.00046092188667823576,0.0,0.0,0.0016932964378519,0.0,0.00013929950790517377,0.0,0.0,0.0078748293806729,0.0,0.0006002213945834095,0.0,711AS,-0.013822431683881798,-0.012060690949403399
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875,134759,218634,performing arts spectator sports museums and related activities,2020,106.479,106.63,104.66641666666668,"Performing arts, spectator sports, museums, and related activities",467004.0,45890714401.0,98266.21271124016,1889.507991366241,6.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.007637805704639,0.0,0.007637805704639,4.667947782607745,0.0315502842030808,4.669364898030088,0.0267255319275223,11.495435530990724,0.1818040277726265,92286.94175493775,11.43265793437107,0.1502537435695448,93885.1408510436,11.449827408276557,0.1706818692651985,0,0.0061815329428209,0.0016932964378519,0.0,0.0,0.0061815329428209,0.0016932964378519,0.0,0.0,0.001456272761818,0.0,0.001456272761818,0.01381933864746,0.015512635085312,0.0,0.0,0.01381933864746,0.015512635085312,0.0,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.0061815329428209,0.0,0.00046092188667823576,0.0,0.0,0.01381933864746,0.0,0.001022289645547,0.0,711AS,-0.15025374356954568,-0.1550784958451042
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875,134759,218634,performing arts spectator sports museums and related activities,2021,106.974,108.839,108.97258333333332,"Performing arts, spectator sports, museums, and related activities",525186.0,51823085930.0,98675.68048272422,1897.4521826552875,6.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.007637805704639,0.0,0.007637805704639,4.672585814280688,0.0046380316729432,4.689869726074234,0.0205048280441459,11.499593796709188,0.0041582657184626,92242.67624163274,11.43217816841659,-0.00047976595448062653,90550.92341978148,11.41366766115886,-0.036159747117697,1,0.007637805704639,0.0061815329428209,0.0,0.0,0.007637805704639,0.0061815329428209,0.0,0.0,0.0,0.0,0.0,0.015275611409278,0.021457144352099,0.0,0.0,0.015275611409278,0.021457144352099,0.0,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.015275611409278,0.0,0.0011227355177375,0.0,711AS,0.0004797659544806005,0.016346562325683302
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875,134759,218634,performing arts spectator sports museums and related activities,2022,109.97,112.772,116.10041666666666,"Performing arts, spectator sports, museums, and related activities",655766.0,64425181866.0,98244.1631100118,1889.368898357036,6.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.007637805704639,0.0,0.007637805704639,4.700207601322843,0.0276217870421549,4.7253680813001955,0.0354983552259611,11.495211119417252,-0.0043826772919342,89337.24025644432,11.4001737040825,-0.0320044643340899,84619.99184040696,11.34592582784776,-0.0677418333110999,1,0.007637805704639,0.007637805704639,0.0,0.0,0.007637805704639,0.007637805704639,0.0,0.0,0.0,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.015275611409278,0.0,0.0011227355177375,0.0,711AS,0.0320044643340891,0.0398810325178953
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875,134759,218634,performing arts spectator sports museums and related activities,2023,114.973,114.675,120.51066666666668,"Performing arts, spectator sports, museums, and related activities",710539.0,69157987799.0,97331.72675813713,1871.8831816409795,6.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.007637805704639,0.0,0.007637805704639,4.744697318188803,0.0444897168659599,4.7421020404832355,0.0167339591830399,11.485880286536537,-0.0093308328807175,84656.15993158144,11.346353154335825,-0.0538205497466766,80766.06780987889,11.29931220345626,-0.0466136243914991,1,0.007637805704639,0.007637805704639,0.0,0.0,0.007637805704639,0.007637805704639,0.0,0.0,0.0,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.015275611409278,0.0,0.0011227355177375,0.0,711AS,0.053820549746677396,0.0260647920637574
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875,134759,218634,performing arts spectator sports museums and related activities,2024,122.127,119.604,123.66608333333332,"Performing arts, spectator sports, museums, and related activities",751521.0,74251617058.0,98801.78605521336,1900.203745470852,6.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.007637805704639,0.0,0.007637805704639,4.8050614868921055,0.0603641687033027,4.78418628577332,0.0420842452900842,11.50087096105448,0.0149906745179446,80900.8540742124,11.300979660150466,-0.0453734941853571,79894.0043964197,11.288456090095504,-0.0108561133607576,1,0.007637805704639,0.007637805704639,0.0,0.0,0.007637805704639,0.007637805704639,0.0,0.0,0.0,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.015275611409278,0.0,0.0011227355177375,0.0,711AS,0.0453734941853581,0.0270935707721396
2019,711AS,"Performing arts, spectator sports, museums, and related activities",83875,134759,218634,performing arts spectator sports museums and related activities,2025,125.82,123.109,126.91908333333332,"Performing arts, spectator sports, museums, and related activities",758389.0,77831963822.0,102628.02311478676,1973.658607917573,6.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.007637805704639,0.0,0.007637805704639,4.834852314141884,0.0297908272497782,4.813070141809541,0.028883856036221,11.53886630419941,0.0379953431449298,81567.33676266631,11.309184176045616,0.0082045158951515,80860.98671643423,11.3004867458959,0.0120306558003964,1,0.007637805704639,0.007637805704639,0.0,0.0,0.007637805704639,0.007637805704639,0.0,0.0,0.0,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.015275611409278,0.0229134171139171,0.0,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.007637805704639,0.0,0.0005613677588687977,0.0,0.0,0.015275611409278,0.0,0.0011227355177375,0.0,711AS,-0.008204515895151598,-0.009111487108708797
2019,713,"Amusements, gambling, and recreation industries",75717,84067,159784,amusements gambling and recreation industries,2016,98.544,97.242,98.28433333333334,"Amusements, gambling, and recreation industries",1610120.0,35508579761.0,22053.37475529774,424.3195519588602,3.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.0,0.0,0.0,4.590503148944688,,4.577202716904037,,10.001220919290898,,22379.216142330068,10.015887956334302,,22438.3419079654,10.018526466887264,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,713,,
2019,713,"Amusements, gambling, and recreation industries",75717,84067,159784,amusements gambling and recreation industries,2017,100.0,100.0,100.00016666666666,"Amusements, gambling, and recreation industries",1647412.0,36876026088.0,22384.216023678353,430.3255785438008,3.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.0,0.0,0.0,4.605170185988092,0.0146670370434041,4.605170185988092,0.0279674690840545,10.01611134766634,0.0148904283754429,22384.216023678353,10.01611134766634,0.00022339133203885808,22384.178716713825,10.016109681001062,-0.0024167858862007,0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713,-0.0002233913320387991,0.013077040708611602
2019,713,"Amusements, gambling, and recreation industries",75717,84067,159784,amusements gambling and recreation industries,2018,103.078,102.436,102.047,"Amusements, gambling, and recreation industries",1694066.0,38695928283.0,22842.042920995995,438.8563208281141,3.0,0.0,clean_301_no_direct_exposure,0.0,0.0,0,0.0083302868129242,0.0047083855463615,0.0083302868129242,4.635485983190037,0.0303157972019452,4.629238213321792,0.0240680273337003,10.036358104647224,0.0202467569808835,22159.959371539993,10.00604230744528,-0.0100690402210616,22383.845601532623,10.016094799165812,-1.4881835250335484e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083302868129242,0.0047083855463615,0.0083302868129242,0.0083302868129242,0.0083302868129242,0.0047083855463615,0.0047083855463615,0.0083302868129242,0.0083302868129242,0.0,0.0,0.0,0.0083302868129242,0.0047083855463615,4.470918227084148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083302868129242,0.0047083855463615,4.470918227084148e-05,0.0,713,0.010069040221061698,0.0038212703528167982
