list_id,hts8,year,active_301_rate
list1,8419.90.50,2023,0.25
list1,8419.90.50,2024,0.25
list1,8419.90.50,2025,0.25
list1,8428.31.00,2016,0.0
list1,8428.31.00,2017,0.0
list1,8428.31.00,2018,0.125
list1,8428.31.00,2019,0.25
list1,8428.31.00,2020,0.25
list1,8428.31.00,2021,0.25
list1,8428.31.00,2022,0.25
list1,8428.31.00,2023,0.25
list1,8428.31.00,2024,0.25
list1,8428.31.00,2025,0.25
list1,8401.30.00,2016,0.0
list1,8401.30.00,2017,0.0
list1,8401.30.00,2018,0.125
list1,8401.30.00,2019,0.25
list1,8401.30.00,2020,0.25
list1,8401.30.00,2021,0.25
list1,8401.30.00,2022,0.25
list1,8401.30.00,2023,0.25
list1,8401.30.00,2024,0.25
list1,8401.30.00,2025,0.25
list1,8412.29.80,2016,0.0
list1,8412.29.80,2017,0.0
list1,8412.29.80,2018,0.125
list1,8412.29.80,2019,0.25
list1,8412.29.80,2020,0.25
list1,8412.29.80,2021,0.25
list1,8412.29.80,2022,0.25
list1,8412.29.80,2023,0.25
list1,8412.29.80,2024,0.25
list1,8412.29.80,2025,0.25
list1,8419.90.85,2016,0.0
list1,8419.90.85,2017,0.0
list1,8419.90.85,2018,0.125
list1,8419.90.85,2019,0.25
list1,8419.90.85,2020,0.25
list1,8419.90.85,2021,0.25
list1,8419.90.85,2022,0.25
list1,8419.90.85,2023,0.25
list1,8419.90.85,2024,0.25
list1,8419.90.85,2025,0.25
list1,8428.32.00,2016,0.0
list1,8428.32.00,2017,0.0
list1,8428.32.00,2018,0.125
list1,8428.32.00,2019,0.25
list1,8428.32.00,2020,0.25
list1,8428.32.00,2021,0.25
list1,8428.32.00,2022,0.25
list1,8428.32.00,2023,0.25
list1,8428.32.00,2024,0.25
list1,8428.32.00,2025,0.25
list1,8401.40.00,2016,0.0
list1,8401.40.00,2017,0.0
list1,8401.40.00,2018,0.125
list1,8401.40.00,2019,0.25
list1,8401.40.00,2020,0.25
list1,8401.40.00,2021,0.25
list1,8401.40.00,2022,0.25
list1,8401.40.00,2023,0.25
list1,8401.40.00,2024,0.25
list1,8401.40.00,2025,0.25
list1,8412.31.00,2016,0.0
list1,8412.31.00,2017,0.0
list1,8412.31.00,2018,0.125
list1,8412.31.00,2019,0.25
list1,8412.31.00,2020,0.25
list1,8412.31.00,2021,0.25
list1,8412.31.00,2022,0.25
list1,8412.31.00,2023,0.25
list1,8412.31.00,2024,0.25
list1,8412.31.00,2025,0.25
list1,8419.90.95,2016,0.0
list1,8419.90.95,2017,0.0
list1,8419.90.95,2018,0.125
list1,8419.90.95,2019,0.25
list1,8419.90.95,2020,0.25
list1,8419.90.95,2021,0.25
list1,8419.90.95,2022,0.25
list1,8419.90.95,2023,0.25
list1,8419.90.95,2024,0.25
list1,8419.90.95,2025,0.25
list1,8428.33.00,2016,0.0
list1,8428.33.00,2017,0.0
list1,8428.33.00,2018,0.125
list1,8428.33.00,2019,0.25
list1,8428.33.00,2020,0.25
list1,8428.33.00,2021,0.25
list1,8428.33.00,2022,0.25
list1,8428.33.00,2023,0.25
list1,8428.33.00,2024,0.25
list1,8428.33.00,2025,0.25
list1,8402.11.00,2016,0.0
list1,8402.11.00,2017,0.0
list1,8402.11.00,2018,0.125
list1,8402.11.00,2019,0.25
list1,8402.11.00,2020,0.25
list1,8402.11.00,2021,0.25
list1,8402.11.00,2022,0.25
list1,8402.11.00,2023,0.25
list1,8402.11.00,2024,0.25
