year,industry_code,industry_name,commodity_code,commodity_name,value_musd,total_intermediate_musd,input_share,link_5pct
2019,GFGD,Federal general government (defense),111CA,Farms,20.0,270064.0,7.405651993601516e-05,0
2019,GFGN,Federal general government (nondefense),111CA,Farms,54.0,121485.0,0.0004444993209038153,0
2019,GFE,Federal government enterprises,111CA,Farms,0.0,33264.0,0.0,0
2019,GSLG,State and local general government,111CA,Farms,4786.0,842146.0,0.005683100080033628,0
2019,GSLE,State and local government enterprises,111CA,Farms,0.0,231285.0,0.0,0
2019,111CA,Farms,113FF,"Forestry, fishing, and related activities",24359.0,265426.0,0.09177322492898209,1
2019,113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",5630.0,9409.0,0.5983632692103306,1
2019,211,Oil and gas extraction,113FF,"Forestry, fishing, and related activities",0.0,143210.0,0.0,0
2019,212,"Mining, except oil and gas",113FF,"Forestry, fishing, and related activities",113.0,53016.0,0.0021314320205221065,0
2019,213,Support activities for mining,113FF,"Forestry, fishing, and related activities",0.0,67484.0,0.0,0
2019,22,Utilities,113FF,"Forestry, fishing, and related activities",0.0,186372.0,0.0,0
2019,23,Construction,113FF,"Forestry, fishing, and related activities",0.0,779205.0,0.0,0
2019,321,Wood products,113FF,"Forestry, fishing, and related activities",14918.0,75557.0,0.19744034305226518,1
2019,327,Nonmetallic mineral products,113FF,"Forestry, fishing, and related activities",1.0,72040.0,1.38811771238201e-05,0
2019,331,Primary metals,113FF,"Forestry, fishing, and related activities",0.0,168512.0,0.0,0
2019,332,Fabricated metal products,113FF,"Forestry, fishing, and related activities",0.0,218723.0,0.0,0
2019,333,Machinery,113FF,"Forestry, fishing, and related activities",0.0,230162.0,0.0,0
2019,334,Computer and electronic products,113FF,"Forestry, fishing, and related activities",0.0,100954.0,0.0,0
2019,335,"Electrical equipment, appliances, and components",113FF,"Forestry, fishing, and related activities",0.0,71429.0,0.0,0
2019,3361MV,"Motor vehicles, bodies and trailers, and parts",113FF,"Forestry, fishing, and related activities",0.0,488464.0,0.0,0
