sector_code,sector_name,summary_code,summary_name,underlying_summary_code,underlying_summary_name,detail_code,detail_name,go_detail_code,go_detail_name,notes,naics_2017
22,Utilities,22,Utilities,2211,"Electric power generation, transmission, and distribution",221100,"Electric power generation, transmission, and distribution",221116,Geothermal electric power generation,,221116
22,Utilities,22,Utilities,2211,"Electric power generation, transmission, and distribution",221100,"Electric power generation, transmission, and distribution",221117,Biomass electric power generation,,221117
22,Utilities,22,Utilities,2211,"Electric power generation, transmission, and distribution",221100,"Electric power generation, transmission, and distribution",221118,Other electric power generation,,221118
22,Utilities,22,Utilities,2211,"Electric power generation, transmission, and distribution",221100,"Electric power generation, transmission, and distribution",221121,Electric bulk power transmission and control,,221121
22,Utilities,22,Utilities,2211,"Electric power generation, transmission, and distribution",221100,"Electric power generation, transmission, and distribution",221122,Electric power distribution,,221122
22,Utilities,22,Utilities,2212NW,"Natural gas distribution and water, sewage and other systems",221200,Natural gas distribution,221200,Natural gas distribution,,2212
22,Utilities,22,Utilities,2212NW,"Natural gas distribution and water, sewage and other systems",221300,"Water, sewage and other systems",221300,"Water, sewage and other systems",,2213
23,Construction,23,Construction,23EH,"Education, hospital, and health structures",233210,Health care structures,233210,Health care structures,†,23*
23,Construction,23,Construction,23EH,"Education, hospital, and health structures",233262,Educational and vocational structures,233262,Educational and vocational structures,†,23*
23,Construction,23,Construction,23OC,Office and commercial structures,2332A0,Office and commercial structures,2332A0,Office and commercial structures,†,23*
23,Construction,23,Construction,23PC,Power and communication structures,233240,Power and communication structures,233240,Power and communication structures,†,23*
23,Construction,23,Construction,23TH,Transportation structures and highways and streets,2332C0,Transportation structures and highways and streets,2332C0,Transportation structures and highways and streets,†,23*
23,Construction,23,Construction,23OT,Other nonresidential structures,233230,Manufacturing structures,233230,Manufacturing structures,†,23*
23,Construction,23,Construction,23OT,Other nonresidential structures,2332D0,Other nonresidential structures,2332D0,Other nonresidential structures,†,23*
23,Construction,23,Construction,23SF,Single-family residential structures,233411,Single-family residential structures,233411,Single-family residential structures,†,23*
23,Construction,23,Construction,23OR,Other residential construction,233412,Multifamily residential structures,233412,Multifamily residential structures,†,23*
23,Construction,23,Construction,23OR,Other residential construction,2334A0,Other residential structures,2334A0,Other residential structures,†,23*
23,Construction,23,Construction,23MR,Maintenance and repair construction,230301,Nonresidential maintenance and repair,230301,Nonresidential maintenance and repair,†,23*
23,Construction,23,Construction,23MR,Maintenance and repair construction,230302,Residential maintenance and repair,230302,Residential maintenance and repair,†,23*
33DG,Durable goods,321,Wood products,321,Wood products,321100,Sawmills and wood preservation,321100,Sawmills and wood preservation,,3211
33DG,Durable goods,321,Wood products,321,Wood products,321200,"Veneer, plywood, and engineered wood product manufacturing",321200,"Veneer, plywood, and engineered wood product manufacturing",,3212
33DG,Durable goods,321,Wood products,321,Wood products,321910,Millwork,321910,Millwork,,32191
33DG,Durable goods,321,Wood products,321,Wood products,3219A0,All other wood product manufacturing,3219A0,All other wood product manufacturing,,32192
33DG,Durable goods,321,Wood products,321,Wood products,3219A0,All other wood product manufacturing,3219A0,All other wood product manufacturing,,32199
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327100,Clay product and refractory manufacturing,327100,Clay product and refractory manufacturing,,3271
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327200,Glass and glass product manufacturing,327200,Glass and glass product manufacturing,,3272
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327310,Cement manufacturing,327310,Cement manufacturing,,32731
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327320,Ready-mix concrete manufacturing,327320,Ready-mix concrete manufacturing,,32732
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327330,"Concrete pipe, brick, and block manufacturing",327330,"Concrete pipe, brick, and block manufacturing",,32733
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327390,Other concrete product manufacturing,327390,Other concrete product manufacturing,,32739
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327400,Lime and gypsum product manufacturing,327400,Lime and gypsum product manufacturing,,3274
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327910,Abrasive product manufacturing,327910,Abrasive product manufacturing,,32791
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327991,Cut stone and stone product manufacturing,327991,Cut stone and stone product manufacturing,,327991
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327992,Ground or treated mineral and earth manufacturing,327992,Ground or treated mineral and earth manufacturing,,327992
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327993,Mineral wool manufacturing,327993,Mineral wool manufacturing,,327993
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327999,Miscellaneous nonmetallic mineral products,327999,Miscellaneous nonmetallic mineral products,,327999
33DG,Durable goods,331,Primary metals,3311IS,Iron and steel mills and manufacturing from purchased steel,331110,Iron and steel mills and ferroalloy manufacturing,331110,Iron and steel mills and ferroalloy manufacturing,,3311
33DG,Durable goods,331,Primary metals,3311IS,Iron and steel mills and manufacturing from purchased steel,331200,Steel product manufacturing from purchased steel,331200,Steel product manufacturing from purchased steel,,3312
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331313,Alumina refining and primary aluminum production,331313,Alumina refining and primary aluminum production,,331313
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331314,Secondary smelting and alloying of aluminum,331314,Secondary smelting and alloying of aluminum,‡,331314
