model_set,model,term,estimate,std_error,t_value,p_value,nobs
output_price,Input-share W,direct_tariff_shock_cum01,-0.0053240763090491305,0.04340566162561846,-0.12265856825246058,0.9027559359186648,594
output_price,Input-share W,w_input_share_shock_cum01,0.0612826406103638,0.07836764170277213,0.7819890873173491,0.43706035490300554,594
output_price,Binary 5pct W,direct_tariff_shock_cum01,-0.0071539906147976085,0.04183285384340035,-0.17101368798739602,0.8647442502254781,594
output_price,Binary 5pct W,w_binary_5pct_shock_cum01,0.04355735264730947,0.04314288113116542,1.009606950330553,0.31642727260886166,594
output_price,Symmetric W,direct_tariff_shock_cum01,0.016989936196036934,0.048221027686804634,0.35233459366288283,0.7257271988218126,594
output_price,Symmetric W,w_symmetric_shock_cum01,-0.06939653514700092,0.1190585233975566,-0.5828775056723501,0.5619925439870586,594
output_price,Network-distance W,direct_tariff_shock_cum01,0.015069676043916463,0.04371781928281179,0.34470328783854265,0.7314302991442314,594
output_price,Network-distance W,w_distance_5pct_shock_cum01,-0.23465170370994576,0.3607144961093661,-0.6505191952108323,0.5176497791105741,594
input_price,Input-share W,direct_tariff_shock_cum01,-0.012872013924796146,0.03344096368667079,-0.38491755337561623,0.7015551302691376,594
input_price,Input-share W,w_input_share_shock_cum01,0.09191248732407746,0.058053494513615925,1.5832378066839752,0.11822115460011595,594
input_price,Binary 5pct W,direct_tariff_shock_cum01,-0.014726425625799983,0.031902395684005797,-0.46160876981358007,0.645903061870773,594
input_price,Binary 5pct W,w_binary_5pct_shock_cum01,0.0623907940388537,0.027760521825365085,2.2474647426060472,0.028010707181956886,594
input_price,Symmetric W,direct_tariff_shock_cum01,-0.005506939499548867,0.03284776783429009,-0.16765034164057024,0.8673788850245747,594
input_price,Symmetric W,w_symmetric_shock_cum01,0.06144081471767144,0.06178316812426275,0.9944587916582273,0.323687277512382,594
input_price,Network-distance W,direct_tariff_shock_cum01,0.0026962216771285363,0.03428305602168929,0.07864589654500938,0.9375558944471898,594
input_price,Network-distance W,w_distance_5pct_shock_cum01,0.038634780309842534,0.18511526059997352,0.2087066197817732,0.8353299259355406,594
real_wage,Input-share W,direct_tariff_shock_cum01,0.0025881097204885845,0.04449993709207786,0.05815985121806689,0.9538083463218217,559
real_wage,Input-share W,w_input_share_shock_cum01,-0.0401289419390971,0.09226893157369348,-0.43491282769484396,0.6651358267916678,559
real_wage,Binary 5pct W,direct_tariff_shock_cum01,0.0045135903054368464,0.04126561055477743,0.10937897791298513,0.9132551617834577,559
real_wage,Binary 5pct W,w_binary_5pct_shock_cum01,-0.030961268604675164,0.04734554032980466,-0.653942660470275,0.5155670364067082,559
real_wage,Symmetric W,direct_tariff_shock_cum01,-0.016381955423646535,0.04644480639500853,-0.3527187794544692,0.7254955861940926,559
real_wage,Symmetric W,w_symmetric_shock_cum01,0.07494596825135363,0.11775166214363224,0.6364748224100254,0.5268098956143237,559
real_wage,Network-distance W,direct_tariff_shock_cum01,-0.018497437341793613,0.04316817099889961,-0.4284971291061909,0.6697742640588095,559
real_wage,Network-distance W,w_distance_5pct_shock_cum01,0.35405671325985005,0.36567062082886065,0.9682394294004656,0.3366867835966936,559
price_wage_gap,Input-share W,direct_tariff_shock_cum01,-0.0025881097204891236,0.04449993709207789,-0.05815985121807896,0.953808346321812,559
price_wage_gap,Input-share W,w_input_share_shock_cum01,0.04012894193909754,0.09226893157369347,0.43491282769484874,0.6651358267916645,559
price_wage_gap,Binary 5pct W,direct_tariff_shock_cum01,-0.004513590305437408,0.041265610554777475,-0.10937897791299861,0.913255161783447,559
price_wage_gap,Binary 5pct W,w_binary_5pct_shock_cum01,0.030961268604675508,0.047345540329804696,0.6539426604702818,0.5155670364067039,559
price_wage_gap,Symmetric W,direct_tariff_shock_cum01,0.016381955423645986,0.04644480639500852,0.3527187794544575,0.7254955861941013,559
price_wage_gap,Symmetric W,w_symmetric_shock_cum01,-0.07494596825135304,0.11775166214363224,-0.6364748224100203,0.526809895614327,559
price_wage_gap,Network-distance W,direct_tariff_shock_cum01,0.01849743734179295,0.043168170998899615,0.42849712910617554,0.6697742640588205,559
price_wage_gap,Network-distance W,w_distance_5pct_shock_cum01,-0.3540567132598447,0.36567062082886076,-0.9682394294004507,0.336686783596701,559
