model,term,estimate,std_error,t_value,p_value,nobs
Gross output price: full network,network_tariff_shock_cum01,0.06424762529917824,0.027738328461365553,2.316203926587123,0.023711054041598546,594
Gross output price: strong IO links,network_tariff_shock_5pct_cum01,0.06366742234736114,0.026887113988739348,2.3679530043286103,0.020871506085368457,594
Intermediate input price: full network,network_tariff_shock_cum01,0.07238574545805831,0.02451303990906659,2.952948541942574,0.004376691596142102,594
Intermediate input price: strong IO links,network_tariff_shock_5pct_cum01,0.07137071234520531,0.02519893189854499,2.832291171409782,0.0061467567936213,594
Price-wage gap: strong IO links,network_tariff_shock_5pct_cum01,0.06258954387761426,0.033853374931533065,1.8488420727386503,0.06924987986249673,559
Real wage: strong IO links,network_tariff_shock_5pct_cum01,-0.06258954387761476,0.033853374931532995,-1.848842072738669,0.06924987986249402,559
Gross output price: 2021-22 interaction,network_tariff_shock_cum01,-0.020084239872201363,0.0547268321962457,-0.3669907258688208,0.7148180124436452,594
Gross output price: 2021-22 interaction,network_tariff_shock_cum01:shock_period,0.21019707398300866,0.12137494941020961,1.7317994776056125,0.08805292059669159,594
