Series_ID,Year,Month,Value
CUUR0000SAD,2022,12,125.624
CUUR0000SAD,2022,11,126.596
CUUR0000SAD,2022,10,127.903
CUUR0000SAD,2022,9,128.688
CUUR0000SAD,2022,8,130.123
CUUR0000SAD,2022,7,129.856
CUUR0000SAD,2022,6,129.464
CUUR0000SAD,2022,5,128.122
CUUR0000SAD,2022,4,127.622
CUUR0000SAD,2022,3,127.471
CUUR0000SAD,2022,2,128.109
CUUR0000SAD,2022,1,127.345
CUUR0000SAD,2021,12,125.747
CUUR0000SAD,2021,11,123.678
CUUR0000SAD,2021,10,122.097
CUUR0000SAD,2021,9,120.107
CUUR0000SAD,2021,8,120.666
CUUR0000SAD,2021,7,120.31
CUUR0000SAD,2021,6,119.434
CUUR0000SAD,2021,5,115.051
CUUR0000SAD,2021,4,111.983
CUUR0000SAD,2021,3,108.597
CUUR0000SAD,2021,2,107.893
CUUR0000SAD,2021,1,107.517
CUUR0000SAD,2020,12,107.691
CUUR0000SAD,2020,11,107.612
CUUR0000SAD,2020,10,107.819
CUUR0000SAD,2020,9,107.474
CUUR0000SAD,2020,8,106.97
CUUR0000SAD,2020,7,105.252
CUUR0000SAD,2020,6,104.188
CUUR0000SAD,2020,5,104.309
CUUR0000SAD,2020,4,104.336
CUUR0000SAD,2020,3,104.703
CUUR0000SAD,2020,2,104.421
CUUR0000SAD,2020,1,103.896
CUUR0000SAD,2019,12,103.695
CUUR0000SAD,2019,11,103.902
CUUR0000SAD,2019,10,104.263
CUUR0000SAD,2019,9,104.385
CUUR0000SAD,2019,8,105.331
CUUR0000SAD,2019,7,105.369
CUUR0000SAD,2019,6,105.167
CUUR0000SAD,2019,5,104.849
CUUR0000SAD,2019,4,105.178
CUUR0000SAD,2019,3,105.379
CUUR0000SAD,2019,2,105.042
CUUR0000SAD,2019,1,104.808
CUUR0000SAD,2018,12,104.169
CUUR0000SAD,2018,11,103.913
CUUR0000SAD,2018,10,103.726
CUUR0000SAD,2018,9,103.488
CUUR0000SAD,2018,8,104.669
