Row_Industry,Col_Industry,Value
Ind_3,Ind_17,0.0
Ind_3,Ind_18,0.0
Ind_3,Ind_19,13.247037757614367
Ind_3,Ind_20,0.0
Ind_3,Ind_21,0.0
Ind_3,Ind_22,6.972125135586509
Ind_3,Ind_23,2.0916375406759524
Ind_3,Ind_24,268242.0564039876
Ind_3,Ind_25,5316.245415884713
Ind_3,Ind_26,13.247037757614367
Ind_3,Ind_27,47.41045092198826
Ind_3,Ind_28,32.76898813725659
Ind_3,Ind_29,6.972125135586509
Ind_3,Ind_30,9.760975189821112
Ind_3,Ind_31,84.36271414059675
Ind_3,Ind_32,0.0
Ind_3,Ind_33,0.0
Ind_3,Ind_34,0.0
Ind_3,Ind_35,0.0
Ind_3,Ind_36,0.0
Ind_3,Ind_37,25.796863001670083
Ind_3,Ind_38,0.0
Ind_3,Ind_39,319.3233312098621
Ind_3,Ind_40,246.11601728620377
Ind_3,Ind_41,18.127525352524923
Ind_3,Ind_42,24.402437974552782
Ind_3,Ind_43,131.773165062585
Ind_3,Ind_44,0.0
Ind_3,Ind_45,0.0
Ind_3,Ind_46,0.0
Ind_3,Ind_47,0.0
Ind_3,Ind_48,0.0
Ind_3,Ind_49,133.16759008970232
Ind_3,Ind_50,0.0
Ind_3,Ind_51,0.0
Ind_3,Ind_52,2.7888500542346035
Ind_3,Ind_53,50.199300976222865
Ind_3,Ind_54,13.944250271173019
Ind_3,Ind_55,10.458187703379764
Ind_3,Ind_56,41.1355382999604
Ind_3,Ind_57,835.2605912432638
Ind_3,Ind_58,27.191288028787383
Ind_3,Ind_59,5.577700108469207
Ind_3,Ind_60,11.155400216938414
Ind_3,Ind_61,24.402437974552782
Ind_3,Ind_62,11.155400216938414
Ind_3,Ind_63,150.5979029286686
Ind_3,Ind_64,20.219162893200874
Ind_3,Ind_65,11.852612730497064
Ind_3,Ind_66,103.88466452023899
Ind_3,Ind_67,0.0
Ind_3,Ind_68,0.0
Ind_3,Ind_69,509.6623474113738
Ind_3,Ind_70,0.0
Ind_3,Ind_71,8040.254706358362
Ind_4,Ind_1,1200.6516103692068
Ind_4,Ind_2,0.0
Ind_4,Ind_3,78.5296167538567
Ind_4,Ind_4,7742.263299961559
Ind_4,Ind_5,102.1831157761027
Ind_4,Ind_6,5873.636877204125
Ind_4,Ind_7,20522.721891661513
Ind_4,Ind_8,6.622979726228879
Ind_4,Ind_9,10357.394151861075
Ind_4,Ind_10,15724.846149989136
Ind_4,Ind_11,440.9012217746653
Ind_4,Ind_12,86.09873644097542
Ind_4,Ind_13,4.730699804449198
Ind_4,Ind_14,78.5296167538567
Ind_4,Ind_15,70.01435710584815
Ind_4,Ind_16,90.82943624542462
Ind_4,Ind_17,9.461399608898397
Ind_4,Ind_18,96.50627601076366
Ind_4,Ind_19,1033.184837291705
Ind_4,Ind_20,24.599638983135833
Ind_4,Ind_21,0.0
Ind_4,Ind_22,948.9783807725092
Ind_4,Ind_23,0.0
Ind_4,Ind_24,2412.6569002690912
Ind_4,Ind_25,4929.389196236065
Ind_4,Ind_26,90.82943624542462
Ind_4,Ind_27,22.707359061356154
Ind_4,Ind_28,0.0
Ind_4,Ind_29,0.0
Ind_4,Ind_30,0.0
Ind_4,Ind_31,2.8384198826695193
Ind_4,Ind_32,0.0
Ind_4,Ind_33,88.93715632364494
Ind_4,Ind_34,0.0
Ind_4,Ind_35,6.622979726228879
Ind_4,Ind_36,0.0
Ind_4,Ind_37,0.0
Ind_4,Ind_38,0.9461399608898398
Ind_4,Ind_39,0.9461399608898398
Ind_4,Ind_40,12.299819491567916
Ind_4,Ind_41,13.245959452457758
Ind_4,Ind_42,203.42009159131555
Ind_4,Ind_43,1341.6264645417928
Ind_4,Ind_44,0.0
Ind_4,Ind_45,0.0
Ind_4,Ind_46,0.0
Ind_4,Ind_47,0.0
Ind_4,Ind_48,6.622979726228879
Ind_4,Ind_49,0.0
Ind_4,Ind_50,0.0
Ind_4,Ind_51,0.0
Ind_4,Ind_52,0.0
Ind_4,Ind_53,1592.3535541776002
Ind_4,Ind_54,29.33033878758503
Ind_4,Ind_55,986.8239792081029
Ind_4,Ind_56,52.98383780983103
Ind_4,Ind_57,509.96943891962366
Ind_4,Ind_58,0.0
Ind_4,Ind_59,17.976659256906956
Ind_4,Ind_60,31.222618709364713
Ind_4,Ind_61,235.5888502615701
Ind_4,Ind_62,370.88686466881717
Ind_4,Ind_63,742.7198692985243
Ind_4,Ind_64,129.62117464190806
Ind_4,Ind_65,855.3105246444152
Ind_4,Ind_66,1276.3428072403938
Ind_4,Ind_67,0.0
Ind_4,Ind_68,3086.308552422657
Ind_4,Ind_69,0.0
Ind_4,Ind_70,2037.9854757567148
Ind_4,Ind_71,5363.667438284501
Ind_5,Ind_1,0.0
Ind_5,Ind_2,0.0
Ind_5,Ind_3,20843.36524314799
Ind_5,Ind_4,2061.2035919163136
Ind_5,Ind_5,1564.9329908889806
Ind_5,Ind_6,0.0
Ind_5,Ind_7,0.0
Ind_5,Ind_8,0.0
Ind_5,Ind_9,0.0
Ind_5,Ind_10,0.0
Ind_5,Ind_11,0.0
Ind_5,Ind_12,0.0
Ind_5,Ind_13,0.0
Ind_5,Ind_14,0.0
Ind_5,Ind_15,0.0
Ind_5,Ind_16,0.0
Ind_5,Ind_17,0.0
Ind_5,Ind_18,0.0
Ind_5,Ind_19,0.0
Ind_5,Ind_20,0.0
Ind_5,Ind_21,0.0
Ind_5,Ind_22,0.0
Ind_5,Ind_23,0.0
Ind_5,Ind_24,0.0
Ind_5,Ind_25,0.0
Ind_5,Ind_26,0.0
Ind_5,Ind_27,0.0
Ind_5,Ind_28,0.0
Ind_5,Ind_29,0.0
Ind_5,Ind_30,0.0
Ind_5,Ind_31,0.0
Ind_5,Ind_32,0.0
Ind_5,Ind_33,0.0
Ind_5,Ind_34,0.0
Ind_5,Ind_35,0.0
Ind_5,Ind_36,0.0
Ind_5,Ind_37,0.0
Ind_5,Ind_38,0.0
