"Industry","Downstream_Centrality","Direct_Shock"
"Ind_1",1.82586298627999,41561.6885582843
"Ind_2",1.38015868303483,15971.0279837956
"Ind_3",1.97930972946763,135325.114102719
"Ind_4",1.46733352359495,5177.13467934683
"Ind_5",1.14227043476232,283.228615350006
"Ind_6",2.42515155914108,1950.70716095593
"Ind_7",2.28977575411471,0
"Ind_8",1.63947408146715,21946.3434563847
"Ind_9",1.35601450989431,28535.503181381
"Ind_10",2.51166803975994,92461.1694569232
"Ind_11",2.156428303496,74928.2240031275
"Ind_12",1.48750486059637,80814.4778070663
"Ind_13",1.43325259162221,168708.579190661
"Ind_14",1.23034891588034,82102.8235720214
"Ind_15",1.58694581903982,127720.916603632
"Ind_16",1.42306487261204,21823.4890406597
"Ind_17",1.05729252402499,13307.945243948
"Ind_18",1.07473705713137,33293.7305884729
"Ind_19",1.67619536052633,52179.5443615679
"Ind_20",1.24999394394197,18276.0030460902
"Ind_21",1.00723107145492,4825.02221054091
"Ind_22",1.7774034456018,22654.7957237502
"Ind_23",1.15117556178026,2816.11806541533
"Ind_24",2.20201968013999,40508.7542865243
"Ind_25",2.9045327392122,204356.290349933
"Ind_26",1.64756327793453,57390.4359248301
"Ind_27",4.84253360214186,36524.1523999485
"Ind_28",1.09751809503165,0
"Ind_29",1.00619596533237,0
"Ind_30",1.01636288664232,0
"Ind_31",1.29044610652762,0
"Ind_32",1.17742959647053,14029.5040788331
"Ind_33",1.25702766458327,425.6595048581
"Ind_34",1.05052500668013,2901.36572340048
"Ind_35",1.89227543254004,4301.48689555272
"Ind_36",1.19662137101447,0
"Ind_37",1.23229259468898,0
"Ind_38",2.23276348762415,3403.3177099144
"Ind_39",1.54808864163988,0
"Ind_40",1.24690068570082,1272.43116620066
"Ind_41",1.39834955732104,7879.88868426437
"Ind_42",1.76982672004991,57.9774944981937
"Ind_43",1.88604261779342,1541.75041048182
"Ind_44",3.14205076761415,7293.50548259838
"Ind_45",2.50756578719974,25.6111853057714
"Ind_46",3.5643082134142,40534.0065622548
"Ind_47",1.01904878615767,0
"Ind_48",1,0
"Ind_49",5.18398300219234,0
"Ind_50",2.80839317207739,0
"Ind_51",1.7284466417143,3543.08734266986
"Ind_52",1.64757567578324,16239.9589503296
"Ind_53",5.27715871630832,68278.2913189679
"Ind_54",3.01228671687472,0
"Ind_55",4.20953678898142,4004.67700358776
"Ind_56",1.43386665749755,412.072974259456
"Ind_57",1.06465409748678,174.323490328361
"Ind_58",1.03589139040259,15.6425735646056
"Ind_59",1.00027802737842,2.7825584578968
"Ind_60",1.00904324494159,2.62283047625033
"Ind_61",1,0
"Ind_62",1.48526827363819,1135.55046391013
"Ind_63",1.06553531766099,0.194867171147963
"Ind_64",1.25477061296101,0
"Ind_65",1.74710631756317,0
"Ind_66",1.84707529857627,1315.57139879875
"Ind_67",1,0
"Ind_68",1,0
"Ind_69",1.18948429236271,212.525108048198
"Ind_70",1,0
"Ind_71",1.12344699366668,0
